and	and	そして
doubted	doubt	疑い
doubting	doubt	疑い
doubtings	doubt	疑い
doubts	doubt	疑い
decent	decent	まとも
decenter	decent	まとも
decentest	decent	まとも
figure	figure	数字
figured	figure	数字
figures	figure	数字
figurings	figure	数字
specific	specific	特定
specifics	specific	特定
size	size	サイズ
sized	size	サイズ
sizer	size	サイズ
sizes	size	サイズ
sizings	size	サイズ
send	send	送る
sended	send	送る
sendings	send	送る
sends	send	送る
starting	starting	はじめに
wife	wife	フラウ
generally	generally	一般
clearly	clearly	明らかに
google	google	Google
googled	google	Google
googles	google	Google
googling	google	Google
gold	gold	きん
golder	gold	きん
goldest	gold	きん
golds	gold	きん
gun	gun	銃
gunned	gun	銃
gunning	gun	銃
guns	gun	銃
content	content	ないよう
contented	content	ないよう
contenting	content	ないよう
contents	content	ないよう
news	news	ニュース
cheap	cheap	安い
cheaper	cheap	安い
cheapest	cheap	安い
terrible	terrible	ひどい
average	average	平均
averaged	average	平均
averages	average	平均
averaging	average	平均
argument	argument	しゅしょう
arguments	argument	しゅしょう
mom	mom	お母さん
moms	mom	お母さん
young	young	若い
younger	young	若い
youngest	young	若い
youngs	young	若い
match	match	けいき
matched	match	けいき
matches	match	けいき
matching	match	けいき
matchings	match	けいき
song	song	歌
songs	song	歌
page	page	ページ
paged	page	ページ
pages	page	ページ
pagings	page	ページ
market	market	しじょう
marketed	market	しじょう
marketings	market	しじょう
markets	market	しじょう
beat	beat	勝つために
beaten	beat	勝つために
beatings	beat	勝つために
beats	beat	勝つために
serious	serious	深刻
position	position	位置
positioned	position	位置
positioning	position	位置
positions	position	位置
lower	lower	下
lowered	lower	下
lowering	lower	下
lowers	lower	下
local	local	ローカル
locals	local	ローカル
social	social	社会の
socials	social	社会の
recently	recently	最近
mention	mention	言及する
mentioned	mention	言及する
mentioning	mention	言及する
mentions	mention	言及する
air	air	わん
aired	air	わん
airings	air	わん
airs	air	わん
wonder	wonder	好奇心旺盛
wondered	wonder	好奇心旺盛
wondering	wonder	好奇心旺盛
wonderings	wonder	好奇心旺盛
wonders	wonder	好奇心旺盛
hair	hair	頭髪
hairs	hair	頭髪
police	police	警察
policed	police	警察
polices	police	警察
policing	police	警察
sad	sad	悲しい
sadder	sad	悲しい
saddest	sad	悲しい
force	force	りき
forced	force	りき
forces	force	りき
forcing	force	りき
test	test	しけん
tested	test	しけん
testings	test	しけん
tests	test	しけん
title	title	件別：:
titled	title	件別：:
titles	title	件別：:
titling	title	件別：:
titlings	title	件別：:
explain	explain	説明する
explained	explain	説明する
explaining	explain	説明する
explains	explain	説明する
difficult	difficult	難しい
major	major	少佐
majored	major	少佐
majoring	major	少佐
majors	major	少佐
random	random	ランダム
evidence	evidence	ちょうしょう
evidenced	evidence	ちょうしょう
evidences	evidence	ちょうしょう
evidencing	evidence	ちょうしょう
nobody	nobody	誰も
nobodies	nobody	誰も
bet	bet	ベット
bets	bet	ベット
betted	bet	ベット
betting	bet	ベット
data	data	データ
stand	stand	立つ
standings	stand	立つ
stands	stand	立つ
stood	stand	立つ
pass	pass	合格するには
passed	pass	合格するには
passes	pass	合格するには
passing	pass	合格するには
assume	assume	仮定を立てる
assumed	assume	仮定を立てる
assumes	assume	仮定を立てる
assuming	assume	仮定を立てる
assumings	assume	仮定を立てる
inside	inside	なか
insides	inside	なか
religion	religion	しゅうきょう
religions	religion	しゅうきょう
fat	fat	脂肪
fated	fat	脂肪
fates	fat	脂肪
fating	fat	脂肪
fats	fat	脂肪
fatter	fat	脂肪
fattest	fat	脂肪
throw	throw	投げる
threw	throw	投げる
throwes	throw	投げる
throwing	throw	投げる
throwings	throw	投げる
thrown	throw	投げる
throws	throw	投げる
dark	dark	暗い
darker	dark	暗い
darkest	dark	暗い
darks	dark	暗い
shitty	shitty	ひどい
league	league	リーグ
leagued	league	リーグ
leagues	league	リーグ
leaguing	league	リーグ
box	box	入れ子
boxed	box	入れ子
boxes	box	入れ子
boxing	box	入れ子
site	site	サイト
range	range	望遠鏡
ranged	range	望遠鏡
ranges	range	望遠鏡
ranging	range	望遠鏡
himself	himself	本人
style	style	スタイル
styled	style	スタイル
styles	style	スタイル
styling	style	スタイル
stylings	style	スタイル
perhaps	perhaps	「なるほど……」
expensive	expensive	高価
ability	ability	のうりょく
abilities	ability	のうりょく
piece	piece	まるぼり
pieced	piece	まるぼり
pieces	piece	まるぼり
piecing	piece	まるぼり
piecings	piece	まるぼり
computer	computer	コンピューター
computers	computer	コンピューター
forget	forget	忘れる
forgets	forget	忘れる
forgetting	forget	忘れる
forgot	forget	忘れる
forgotten	forget	忘れる
special	special	スペシャル
specials	special	スペシャル
quick	quick	速い
quicker	quick	速い
quickest	quick	速い
quicks	quick	速い
service	service	サービス
serviced	service	サービス
services	service	サービス
servicing	service	サービス
extremely	extremely	とても
blue	blue	青
blued	blue	青
blueing	blue	青
bluer	blue	青
blues	blue	青
bluest	blue	青
bluings	blue	青
dad	dad	パパ
dads	dad	パパ
screen	screen	がめん
screened	screen	がめん
screenings	screen	がめん
screens	screen	がめん
baby	baby	赤ちゃん
babies	baby	赤ちゃん
babied	baby	赤ちゃん
babying	baby	赤ちゃん
fix	fix	修正する
fixed	fix	修正する
fixes	fix	修正する
fixings	fix	修正する
somewhere	somewhere	どこか
somewheres	somewhere	どこか
act	act	行動する
acted	act	行動する
acting	act	行動する
acts	act	行動する
process	process	かてい
processed	process	かてい
processes	process	かてい
processing	process	かてい
follow	follow	conform
followed	follow	conform
followings	follow	conform
follows	follow	conform
code	code	コード
telling	telling	話す
beautiful	beautiful	うるわしの
hurt	hurt	痛かった。
hurted	hurt	痛かった。
hurter	hurt	痛かった。
hurting	hurt	痛かった。
hurts	hurt	痛かった。
waiting	waiting	待機中
putting	putting	手放す
write	write	書く
writes	write	書く
writings	write	書く
written	write	書く
wrote	write	書く
multiple	multiple	複数
multiples	multiple	複数
view	view	一覧を見る
viewed	view	一覧を見る
viewings	view	一覧を見る
views	view	一覧を見る
worry	worry	心配してください
worries	worry	心配してください
worried	worry	心配してください
worryings	worry	心配してください
offer	offer	言い出す [いいだす]
offered	offer	言い出す [いいだす]
offerings	offer	言い出す [いいだす]
offers	offer	言い出す [いいだす]
choose	choose	選ぶ
chooses	choose	選ぶ
choosing	choose	選ぶ
chose	choose	選ぶ
chosen	choose	選ぶ
base	base	もと
based	base	もと
baser	base	もと
bases	base	もと
basest	base	もと
basing	base	もと
miss	miss	見逃す
missed	miss	見逃す
misses	miss	見逃す
missing	miss	見逃す
willing	willing	will
stick	stick	貼り付ける
sticked	stick	貼り付ける
sticking	stick	貼り付ける
stickings	stick	貼り付ける
sticks	stick	貼り付ける
stuck	stick	貼り付ける
walk	walk	歩く
walked	walk	歩く
walkings	walk	歩く
walks	walk	歩く
quickly	quickly	すぐに
forward	forward	進む
forwarded	forward	進む
forwarder	forward	進む
forwardest	forward	進む
forwardings	forward	進む
forwards	forward	進む
effect	effect	げん
effected	effect	げん
effecting	effect	げん
effects	effect	げん
lack	lack	ふそく
lacked	lack	ふそく
lacking	lack	ふそく
lacks	lack	ふそく
eventually	eventually	たいび
english	english	えいご
englishes	english	えいご
apparently	apparently	どうやら
building	building	おくしゃ
bullshit	bullshit	うわごと
bullshits	bullshit	うわごと
bullshitted	bullshit	うわごと
bullshitting	bullshit	うわごと
plenty	plenty	十分
plenties	plenty	十分
ground	ground	じ
grounded	ground	じ
groundings	ground	じ
grounds	ground	じ
rate	rate	レート
ready	ready	準備完了
readies	ready	準備完了
readiest	ready	準備完了
readier	ready	準備完了
readying	ready	準備完了
female	female	レディース
females	female	レディース
prefer	prefer	好む
prefered	prefer	好む
preferred	prefer	好む
preferring	prefer	好む
prefers	prefer	好む
health	health	健康
healths	health	健康
hopefully	hopefully	うまくいけば
complete	complete	完了
completed	complete	完了
completer	complete	完了
completes	complete	完了
completest	complete	完了
completing	complete	完了
field	field	セクター
fielded	field	セクター
fieldings	field	セクター
fields	field	セクター
note	note	メモ
noted	note	メモ
notes	note	メモ
noting	note	メモ
skin	skin	ひとはだ
skinned	skin	ひとはだ
skinning	skin	ひとはだ
skins	skin	ひとはだ
response	response	さしいらえ
responses	response	さしいらえ
wear	wear	着用する
weared	wear	着用する
wearings	wear	着用する
wears	wear	着用する
wore	wear	着用する
worn	wear	着用する
sleep	sleep	寝る
sleepings	sleep	寝る
sleeps	sleep	寝る
slept	sleep	寝る
server	server	サーバ
servers	server	サーバ
attention	attention	注　意
attentions	attention	注　意
date	date	日付
dated	date	日付
dates	date	日付
datings	date	日付
pain	pain	痛み
pained	pain	痛み
paining	pain	痛み
pains	pain	痛み
pull	pull	引っ張る
pulled	pull	引っ張る
pullings	pull	引っ張る
pulls	pull	引っ張る
safe	safe	恙無い [つつがない]
safer	safe	恙無い [つつがない]
safes	safe	恙無い [つつがない]
safest	safe	恙無い [つつがない]
holy	holy	神聖
holies	holy	神聖
holiest	holy	神聖
holier	holy	神聖
step	step	相
stepped	step	相
stepping	step	相
steps	step	相
term	term	用語
termed	term	用語
termes	term	用語
terming	term	用語
terms	term	用語
create	create	作る
created	create	作る
creates	create	作る
creating	create	作る
focus	focus	フォーカスする
foci	focus	フォーカスする
focused	focus	フォーカスする
focuses	focus	フォーカスする
focusings	focus	フォーカスする
focussed	focus	フォーカスする
focusses	focus	フォーカスする
focussing	focus	フォーカスする
dick	dick	ザジ
dicks	dick	ザジ
rule	rule	じゅんじょう
ruled	rule	じゅんじょう
rules	rule	じゅんじょう
rulings	rule	じゅんじょう
male	male	男性
males	male	男性
total	total	全体の
totaled	total	全体の
totaling	total	全体の
totalled	total	全体の
totalling	total	全体の
totals	total	全体の
access	access	せっきん
accessed	access	せっきん
accesses	access	せっきん
accessing	access	せっきん
cold	cold	寒い
colder	cold	寒い
coldest	cold	寒い
colds	cold	寒い
honest	honest	正直
message	message	メーセージ
messaged	message	メーセージ
messages	message	メーセージ
messagings	message	メーセージ
share	share	共有する
shared	share	共有する
shares	share	共有する
sharings	share	共有する
majority	majority	だいたすう
majorities	majority	だいたすう
fall	fall	落ちる
fallen	fall	落ちる
falling	fall	落ちる
fallings	fall	落ちる
falls	fall	落ちる
release	release	起動するには
released	release	起動するには
releasees	release	起動するには
releases	release	起動するには
releasing	release	起動するには
listen	listen	聞く
listened	listen	聞く
listenings	listen	聞く
listens	listen	聞く
slow	slow	遅い
slowed	slow	遅い
slower	slow	遅い
slowest	slow	遅い
slowings	slow	遅い
slows	slow	遅い
allow	allow	allow
allowed	allow	allow
allowing	allow	allow
allows	allow	allow
oil	oil	油
oiled	oil	油
oiling	oil	油
oils	oil	油
mother	mother	ムッター
mothered	mother	ムッター
mothering	mother	ムッター
motherings	mother	ムッター
mothers	mother	ムッター
door	door	かど
doors	door	かど
interest	interest	かんじん
interested	interest	かんじん
interesting	interest	かんじん
interests	interest	かんじん
unfortunately	unfortunately	残念ながら、
suggest	suggest	言い出す [いいだす]
suggested	suggest	言い出す [いいだす]
suggesting	suggest	言い出す [いいだす]
suggests	suggest	言い出す [いいだす]
exist	exist	exist
existed	exist	exist
existing	exist	exist
exists	exist	exist
speak	speak	言う
speakings	speak	言う
speaks	speak	言う
spoken	speak	言う
avoid	avoid	避ける
avoided	avoid	避ける
avoiding	avoid	避ける
avoids	avoid	避ける
defense	defense	鰤
defenses	defense	鰤
regular	regular	普通
regulars	regular	普通
drink	drink	飲む
drank	drink	飲む
drinkings	drink	飲む
drinks	drink	飲む
exact	exact	ちやんとした
exacted	exact	ちやんとした
exacter	exact	ちやんとした
exactest	exact	ちやんとした
exacting	exact	ちやんとした
exacts	exact	ちやんとした
third	third	第3
thirds	third	第3
america	america	メリケン
americas	america	メリケン
society	society	じっしゃかい
societies	society	じっしゃかい
standard	standard	通常
standards	standard	通常
heart	heart	しんちょう
hearts	heart	しんちょう
clean	clean	clean
cleaned	clean	clean
cleanest	clean	clean
cleanings	clean	clean
cleans	clean	clean
calling	calling	召し
further	further	さらに、
furthered	further	さらに、
furthering	further	さらに、
furthers	further	さらに、
trust	trust	信じること
trusted	trust	信じること
trusting	trust	信じること
trusts	trust	信じること
self	self	自己
selves	self	自己
fairly	fairly	かなり
bar	bar	バール
bared	bar	バール
baring	bar	バール
barred	bar	バール
bars	bar	バール
episode	episode	エピソード
episodes	episode	エピソード
continue	continue	続ける
continued	continue	続ける
continues	continue	続ける
continuing	continue	続ける
claim	claim	を主張する
claimed	claim	を主張する
claiming	claim	を主張する
claims	claim	を主張する
spot	spot	プレース
spots	spot	プレース
spotted	spot	プレース
map	map	しどう
mapped	map	しどう
maps	map	しどう
goal	goal	もくひょう
goals	goal	もくひょう
info	info	情報
language	language	バーバル
languages	language	バーバル
action	action	ふるまい
actioned	action	ふるまい
actioning	action	ふるまい
actions	action	ふるまい
eye	eye	雪
eyed	eye	雪
eyeing	eye	雪
eyes	eye	雪
eying	eye	雪
green	green	しょうろく
greened	green	しょうろく
greener	green	しょうろく
greenest	green	しょうろく
greenings	green	しょうろく
greens	green	しょうろく
notice	notice	notice
noticed	notice	notice
notices	notice	notice
noticing	notice	notice
writing	writing	記事
solid	solid	硬い [かたい]
solidest	solid	硬い [かたい]
solids	solid	硬い [かたい]
earth	earth	地球
earthed	earth	地球
earthing	earth	地球
earths	earth	地球
sit	sit	座る [すわる]
sat	sit	座る [すわる]
sited	sit	座る [すわる]
sites	sit	座る [すわる]
siting	sit	座る [すわる]
sits	sit	座る [すわる]
gear	gear	張飛
geared	gear	張飛
gearings	gear	張飛
gears	gear	張飛
possibly	possibly	「なるほど……」
energy	energy	エナージー
energies	energy	エナージー
cat	cat	みけねこ
cats	cat	みけねこ
brother	brother	けいてい
brethren	brother	けいてい
brothers	brother	けいてい
research	research	れんく
researched	research	れんく
researches	research	れんく
researching	research	れんく
popular	popular	人気
morning	morning	早朝
mornings	morning	早朝
cover	cover	カバー
covered	cover	カバー
coverings	cover	カバー
covers	cover	カバー
coversed	cover	カバー
key	key	かぎ
keyed	key	かぎ
keying	key	かぎ
keys	key	かぎ
meet	meet	ミート
meetest	meet	ミート
meetings	meet	ミート
meets	meet	ミート
met	meet	ミート
useful	useful	役に立つ
million	million	ひゃくまん
millioner	million	ひゃくまん
millions	million	ひゃくまん
color	color	色
coloreds	color	色
colorer	color	色
colorings	color	色
colors	color	色
town	town	村
towns	town	村
lead	lead	lead
leaded	lead	lead
leadings	lead	lead
leads	lead	lead
slightly	slightly	ひとにぎり
sent	sent	送信
killing	killing	kill
risk	risk	warning
risked	risk	warning
risking	risk	warning
risks	risk	warning
tend	tend	私は以下の傾向があります
tended	tend	私は以下の傾向があります
tending	tend	私は以下の傾向があります
tends	tend	私は以下の傾向があります
scene	scene	シーン
scenes	scene	シーン
heavy	heavy	重い
heavies	heavy	重い
heaviest	heavy	重い
heavier	heavy	重い
practice	practice	れんしゅう
practiced	practice	れんしゅう
practices	practice	れんしゅう
practicing	practice	れんしゅう
film	film	えいが
filmed	film	えいが
filming	film	えいが
films	film	えいが
nearly	nearly	ほぼ
image	image	イメージ
imaged	image	イメージ
images	image	イメージ
imagings	image	イメージ
road	road	みごろ
roads	road	みごろ
son	son	息子，子
sons	son	息子，子
round	round	丸い
rounded	round	丸い
roundest	round	丸い
roundings	round	丸い
rounds	round	丸い
basic	basic	ベーシック
basics	basic	ベーシック
skill	skill	ぎじゅつ
skills	skill	ぎじゅつ
design	design	デザイン
designed	design	デザイン
designings	design	デザイン
designs	design	デザイン
double	double	ダブル
doubled	double	ダブル
doubles	double	ダブル
doublings	double	ダブル
appreciate	appreciate	感謝している
appreciated	appreciate	感謝している
appreciates	appreciate	感謝している
appreciating	appreciate	感謝している
sweet	sweet	甘い
sweeter	sweet	甘い
sweetest	sweet	甘い
sweets	sweet	甘い
obvious	obvious	distinct
land	land	じ
landed	land	じ
landings	land	じ
lands	land	じ
sign	sign	印付け
signed	sign	印付け
signings	sign	印付け
signs	sign	印付け
blood	blood	稗
blooded	blood	稗
blooding	blood	稗
bloodings	blood	稗
bloods	blood	稗
board	board	けいじばん
boarded	board	けいじばん
boardings	board	けいじばん
boards	board	けいじばん
entirely	entirely	完全に
bed	bed	ベッド
bedded	bed	ベッド
bedding	bed	ベッド
beds	bed	ベッド
voice	voice	声
voiced	voice	声
voices	voice	声
voicings	voice	声
knowing	knowing	知る
star	star	ほし
stared	star	ほし
stares	star	ほし
staring	star	ほし
starings	star	ほし
starred	star	ほし
starring	star	ほし
stars	star	ほし
respect	respect	リスペクト
respected	respect	リスペクト
respecting	respect	リスペクト
respects	respect	リスペクト
search	search	検索する
searched	search	検索する
searches	search	検索する
searching	search	検索する
searchings	search	検索する
somehow	somehow	なんとなく
particular	particular	特定
particulars	particular	特定
result	result	けっか
resulted	result	けっか
resulting	result	けっか
results	result	けっか
ridiculous	ridiculous	とんでもない
anywhere	anywhere	どこでも
program	program	番組
programed	program	番組
programing	program	番組
programmed	program	番組
programs	program	番組
tax	tax	タックス
taxed	tax	タックス
taxes	tax	タックス
taxing	tax	タックス
art	art	アート
arts	art	アート
return	return	戻る
returned	return	戻る
returning	return	戻る
returns	return	戻る
four	four	よつ
fours	four	よつ
race	race	ときょうそう
raced	race	ときょうそう
races	race	ときょうそう
racings	race	ときょうそう
twice	twice	りょうど
sick	sick	病気
sicker	sick	病気
sickest	sick	病気
sicks	sick	病気
carry	carry	運ぶ
carries	carry	運ぶ
carried	carry	運ぶ
carrying	carry	運ぶ
carryings	carry	運ぶ
bottom	bottom	そこ
bottomed	bottom	そこ
bottoming	bottom	そこ
bottoms	bottom	そこ
decide	decide	決める
decided	decide	決める
decides	decide	決める
deciding	decide	決める
gotta	gotta	should
website	website	トップページ
websites	website	トップページ
regardless	regardless	関係なく
text	text	テキスト
texts	text	テキスト
legal	legal	法務
track	track	追跡する
tracked	track	追跡する
trackings	track	追跡する
tracks	track	追跡する
knowledge	knowledge	ノレッジ
knowledges	knowledge	ノレッジ
product	product	製品
products	product	製品
specifically	specifically	具体的には
event	event	出来事
events	event	出来事
ton	ton	トーン
tons	ton	トーン
science	science	サイエンス
sciences	science	サイエンス
potential	potential	ポテンシャル力
potentials	potential	ポテンシャル力
overall	overall	全体
overalls	overall	全体
steam	steam	蒸気
steamed	steam	蒸気
steaming	steam	蒸気
steamings	steam	蒸気
steams	steam	蒸気
credit	credit	しんよう
credited	credit	しんよう
crediting	credit	しんよう
credits	credit	しんよう
physical	physical	身体の
happening	happening	起こっていること
target	target	もくひょう
targeted	target	もくひょう
targeting	target	もくひょう
targets	target	もくひょう
driving	driving	運転
sitting	sitting	座る
sittings	sitting	座る
truly	truly	本当に
disagree	disagree	そう思わない
disagreed	disagree	そう思わない
disagreeing	disagree	そう思わない
disagrees	disagree	そう思わない
disagreing	disagree	そう思わない
reality	reality	現実
realities	reality	現実
shoot	shoot	シュート
shootings	shoot	シュート
shoots	shoot	シュート
count	count	‘強い’
counted	count	‘強い’
counting	count	‘強い’
counts	count	‘強い’
mode	mode	モード
modes	mode	モード
provide	provide	を提供する
provided	provide	を提供する
provides	provide	を提供する
providing	provide	を提供する
dumb	dumb	愚かな
dumber	dumb	愚かな
dumbest	dumb	愚かな
gaming	gaming	ゲーム
catch	catch	catch
catches	catch	catch
catchings	catch	catch
caught	catch	catch
culture	culture	カルチャー
cultured	culture	カルチャー
cultures	culture	カルチャー
culturing	culture	カルチャー
finding	finding	はっけん
model	model	モデル
modeled	model	モデル
modelings	model	モデル
modelled	model	モデル
modelling	model	モデル
models	model	モデル
immediately	immediately	そくじ
learning	learning	勉強
brain	brain	脳
brained	brain	脳
braining	brain	脳
brains	brain	脳
lucky	lucky	ラッキー
luckiest	lucky	ラッキー
luckier	lucky	ラッキー
wall	wall	カベ
walled	wall	カベ
walling	wall	カベ
wallings	wall	カベ
walls	wall	カベ
enemy	enemy	てきがた
enemies	enemy	てきがた
handle	handle	に対処する
handled	handle	に対処する
handles	handle	に対処する
handless	handle	に対処する
handlings	handle	に対処する
following	following	フォロー中
posting	posting	はりふだ
decision	decision	デシジョン
decisions	decision	デシジョン
truth	truth	しんじつ
truths	truth	しんじつ
sold	sold	ペイリン
weapon	weapon	むぎ
weapons	weapon	むぎ
contact	contact	連絡する
contacted	contact	連絡する
contacting	contact	連絡する
contacts	contact	連絡する
football	football	アソシエーションフット
footballs	football	アソシエーションフット
final	final	最後
finals	final	最後
deck	deck	デッキ
decked	deck	デッキ
decking	deck	デッキ
deckings	deck	デッキ
decks	deck	デッキ
directly	directly	ちょくせつ
doctor	doctor	擬死
doctored	doctor	擬死
doctoring	doctor	擬死
doctors	doctor	擬死
aware	aware	既知
push	push	押す
pushed	push	押す
pushes	push	押す
pushing	push	押す
item	item	項目
items	item	項目
crap	crap	ちりあくた
crapped	crap	ちりあくた
crapping	crap	ちりあくた
craps	crap	ちりあくた
magic	magic	まほう
magics	magic	まほう
record	record	ドキュメント
recorded	record	ドキュメント
recordings	record	ドキュメント
records	record	ドキュメント
vote	vote	投票する
voted	vote	投票する
votes	vote	投票する
voting	vote	投票する
effort	effort	ろうりょく
efforts	effort	ろうりょく
office	office	じむしつ
offices	office	じむしつ
training	training	練習
trouble	trouble	ぶんだい
troubled	trouble	ぶんだい
troubles	trouble	ぶんだい
troubling	trouble	ぶんだい
troublings	trouble	ぶんだい
update	update	アップデート
updated	update	アップデート
updates	update	アップデート
updating	update	アップデート
discussion	discussion	ろん
discussions	discussion	ろん
fighting	fighting	ものあらそい
perfectly	perfectly	完璧に
gay	gay	ゲイ
gayer	gay	ゲイ
gayest	gay	ゲイ
gays	gay	ゲイ
ice	ice	氷
iced	ice	氷
ices	ice	氷
icings	ice	氷
deep	deep	深い
deeper	deep	深い
deepest	deep	深い
deeps	deep	深い
stock	stock	しゅしょく
stocked	stock	しゅしょく
stockings	stock	しゅしょく
stocks	stock	しゅしょく
jump	jump	ジャンプする
jumped	jump	ジャンプする
jumping	jump	ジャンプする
jumps	jump	ジャンプする
paper	paper	かいし
papered	paper	かいし
paperings	paper	かいし
papers	paper	かいし
tank	tank	盾
tanked	tank	盾
tanking	tank	盾
tankings	tank	盾
tanks	tank	盾
keeping	keeping	油紙
finish	finish	終了する
finished	finish	終了する
finishes	finish	終了する
finishings	finish	終了する
fully	fully	完全に
ship	ship	時間
shipped	ship	時間
ships	ship	時間
context	context	コンテキスト
contexts	context	コンテキスト
charge	charge	りょうきん
charged	charge	りょうきん
charges	charge	りょうきん
charging	charge	りょうきん
switch	switch	変更するには
switched	switch	変更するには
switches	switch	変更するには
switchings	switch	変更するには
accept	accept	accept
accepted	accept	accept
accepting	accept	accept
accepts	accept	accept
minute	minute	分
minutes	minute	分
period	period	きこん
periods	period	きこん
ahead	ahead	の前で
modern	modern	モダン
moderns	modern	モダン
wanna	wanna	私がしたいのは
highly	highly	とても
increase	increase	増やすには
increased	increase	増やすには
increases	increase	増やすには
increasing	increase	増やすには
increasings	increase	増やすには
reply	reply	答える
replies	reply	答える
replied	reply	答える
replying	reply	答える
loss	loss	ロス
losses	loss	ロス
impossible	impossible	impossible
impossibles	impossible	impossible
join	join	参加
joined	join	参加
joinings	join	参加
joins	join	参加
conversation	conversation	やりとり
conversations	conversation	やりとり
understanding	understanding	りかい
smart	smart	スマート
smarted	smart	スマート
smarter	smart	スマート
smartest	smart	スマート
smarting	smart	スマート
smarts	smart	スマート
incredibly	incredibly	信じられない
five	five	ファイブ
fives	five	ファイブ
camera	camera	キャメラ
cameras	camera	キャメラ
horrible	horrible	ひどい
massive	massive	巨大
max	max	最大
maxes	max	最大
whenever	whenever	いつでも
include	include	含む
included	include	含む
includes	include	含む
including	include	含む
bitch	bitch	ねんもの
bitched	bitch	ねんもの
bitches	bitch	ねんもの
bitching	bitch	ねんもの
performance	performance	性能
performances	performance	性能
yea	yea	うん？
yeas	yea	うん？
south	south	みなみ
souths	south	みなみ
military	military	軍隊の
militaries	military	軍隊の
welcome	welcome	ようこそ
welcomed	welcome	ようこそ
welcomes	welcome	ようこそ
welcoming	welcome	ようこそ
fear	fear	おぞけ
feared	fear	おぞけ
feares	fear	おぞけ
fearing	fear	おぞけ
fears	fear	おぞけ
ha	ha	下
father	father	てて
fathered	father	てて
fathering	father	てて
fathers	father	てて
street	street	ディスタンス
streets	street	ディスタンス
wearing	wearing	服を着た
remove	remove	取り除く
removed	remove	取り除く
removes	remove	取り除く
removing	remove	取り除く
west	west	まにし
wests	west	まにし
rock	rock	岩
rocked	rock	岩
rocking	rock	岩
rockings	rock	岩
rocks	rock	岩
meaning	meaning	意味
fantastic	fantastic	素晴らしい
private	private	プライベート
privates	private	プライベート
tomorrow	tomorrow	みょうにち
constantly	constantly	永久に
club	club	クラブ
clubbed	club	クラブ
clubs	club	クラブ
religious	religious	宗教的
religiouses	religious	宗教的
curious	curious	好奇心旺盛
beer	beer	ビール
beers	beer	ビール
boy	boy	ギャルソン
boys	boy	ギャルソン
suck	suck	ひどい
sucked	suck	ひどい
suckings	suck	ひどい
sucks	suck	ひどい
awful	awful	ひどい
touch	touch	タッチする
touched	touch	タッチする
touches	touch	タッチする
touchings	touch	タッチする
mod	mod	モード
mods	mod	モード
theory	theory	りろん
theories	theory	りろん
nope	nope	否！
train	train	器差
trained	train	器差
trainings	train	器差
trains	train	器差
showing	showing	表示中
grow	grow	育つ
grew	grow	育つ
growed	grow	育つ
growings	grow	育つ
grown	grow	育つ
grows	grow	育つ
yours	yours	あなたの
positive	positive	ポジティブ
positives	positive	ポジティブ
statement	statement	ちんじゅつ
statements	statement	ちんじゅつ
walking	walking	徒歩
north	north	さくほく
norths	north	さくほく
pro	pro	プロ
pros	pro	プロ
recent	recent	最新
degree	degree	くらい
degrees	degree	くらい
draw	draw	描く
drawings	draw	描く
drawn	draw	描く
draws	draw	描く
drew	draw	描く
shop	shop	店舗
shopped	shop	店舗
shops	shop	店舗
machine	machine	器具
machined	machine	器具
machines	machine	器具
machining	machine	器具
population	population	ポピュレート
populations	population	ポピュレート
natural	natural	ネイチャーズ
naturals	natural	ネイチャーズ
negative	negative	ネガティブ
negatived	negative	ネガティブ
negativer	negative	ネガティブ
negatives	negative	ネガティブ
negativing	negative	ネガティブ
holding	holding	ホールディング
boss	boss	ボス
bossed	boss	ボス
bosses	boss	ボス
bossing	boss	ボス
limited	limited	限定
battle	battle	戦闘
battled	battle	戦闘
battles	battle	戦闘
battling	battle	戦闘
leaving	leaving	出発
daily	daily	毎日
dailies	daily	毎日
previous	previous	前へ
album	album	アルバム
albums	album	アルバム
advantage	advantage	りてん
advantaged	advantage	りてん
advantages	advantage	りてん
advantaging	advantage	りてん
project	project	プロジェクト
projected	project	プロジェクト
projecting	project	プロジェクト
projectings	project	プロジェクト
projects	project	プロジェクト
speech	speech	スピーチ
speeches	speech	スピーチ
nature	nature	しぜん
natures	nature	しぜん
necessary	necessary	必然的 [ひつぜんてき]
necessaries	necessary	必然的 [ひつぜんてき]
proof	proof	ちょうしょう
proofed	proof	ちょうしょう
proofer	proof	ちょうしょう
proofing	proof	ちょうしょう
proofings	proof	ちょうしょう
proofs	proof	ちょうしょう
yep	yep	うん？
comfortable	comfortable	快適
political	political	政治
mad	mad	怒っている
maddest	mad	怒っている
healthy	healthy	けんこうてきな
healthiest	healthy	けんこうてきな
healthier	healthy	けんこうてきな
click	click	をクリックして
clicked	click	をクリックして
clicking	click	をクリックして
clickings	click	をクリックして
clicks	click	をクリックして
cash	cash	しょうきん
cashed	cash	しょうきん
cashes	cash	しょうきん
cashing	cash	しょうきん
yesterday	yesterday	さくじつ
reasonable	reasonable	リーズナブル
taste	taste	テイスト
tasted	taste	テイスト
tastes	taste	テイスト
tastings	taste	テイスト
require	require	要求する
required	require	要求する
requires	require	要求する
requiring	require	要求する
requirings	require	要求する
canada	canada	カナダ
canadas	canada	カナダ
reach	reach	来る [くる]
reached	reach	来る [くる]
