and	and	그리고
goldenest	golden	금빛의
alternative	alternative	어느 한쪽의 양자택일
alternatives	alternative	어느 한쪽의 양자택일
surely	surely	확실히
drawing	drawing	제도
description	description	서술
descriptions	description	서술
existence	existence	존재
existences	existence	존재
aspect	aspect	관점
aspects	aspect	관점
sending	sending	보내는
develop	develop	발달하다
developed	develop	발달하다
developes	develop	발달하다
developing	develop	발달하다
develops	develop	발달하다
innocent	innocent	무구한
innocenter	innocent	무구한
innocentest	innocent	무구한
innocents	innocent	무구한
condition	condition	조건
conditioned	condition	조건
conditionings	condition	조건
conditions	condition	조건
sport	sport	운동
sported	sport	운동
sporting	sport	운동
sports	sport	운동
wave	wave	물결
waved	wave	물결
waves	wave	물결
wavings	wave	물결
surface	surface	표면
surfaced	surface	표면
surfacer	surface	표면
surfaces	surface	표면
surfacings	surface	표면
boat	boat	배
boated	boat	배
boatings	boat	배
boats	boat	배
shower	shower	소나기 v.빗발치듯 퍼붓다(쏟다)
showered	shower	소나기 v.빗발치듯 퍼붓다(쏟다)
showering	shower	소나기 v.빗발치듯 퍼붓다(쏟다)
showerings	shower	소나기 v.빗발치듯 퍼붓다(쏟다)
showers	shower	소나기 v.빗발치듯 퍼붓다(쏟다)
titan	titan	타이탄
titans	titan	타이탄
schedule	schedule	일람표
scheduled	schedule	일람표
schedules	schedule	일람표
scheduling	schedule	일람표
rip	rip	찢다
ripped	rip	찢다
ripping	rip	찢다
rips	rip	찢다
politics	politics	정치
texas	texas	텍사스
texases	texas	텍사스
kit	kit	연장통
kited	kit	연장통
kites	kit	연장통
kiting	kit	연장통
kits	kit	연장통
audience	audience	청중
audiences	audience	청중
fellow	fellow	동무
fellows	fellow	동무
potentially	potentially	가능적으로
pocket	pocket	포켓
pocketed	pocket	포켓
pocketing	pocket	포켓
pockets	pocket	포켓
controller	controller	감독관
controllers	controller	감독관
detail	detail	상설
detailed	detail	상설
detailing	detail	상설
details	detail	상설
parent	parent	어버이
parented	parent	어버이
parenting	parent	어버이
parentings	parent	어버이
parents	parent	어버이
cycle	cycle	순환
cycled	cycle	순환
cycles	cycle	순환
cyclings	cycle	순환
spirit	spirit	정신
spirited	spirit	정신
spiriting	spirit	정신
spiritings	spirit	정신
spirits	spirit	정신
initial	initial	처음의
initialed	initial	처음의
initialer	initial	처음의
initialing	initial	처음의
initialled	initial	처음의
initialling	initial	처음의
initials	initial	처음의
dig	dig	파다
digging	dig	파다
digs	dig	파다
dug	dig	파다
physically	physically	물리적으로
penis	penis	음경
penises	penis	음경
juice	juice	주우스
juices	juice	주우스
consistent	consistent	시종일관한
lunch	lunch	점심
lunched	lunch	점심
lunches	lunch	점심
lunching	lunch	점심
apartment	apartment	아파트
apartments	apartment	아파트
length	length	길이
lengths	length	길이
officer	officer	공무원
officered	officer	공무원
officeress	officer	공무원
officering	officer	공무원
officers	officer	공무원
flight	flight	날기
flighted	flight	날기
flighting	flight	날기
flights	flight	날기
economic	economic	경제의
cook	cook	요리하다 요리사
cooked	cook	요리하다 요리사
cookings	cook	요리하다 요리사
cooks	cook	요리하다 요리사
wise	wise	슬기로운
wiser	wise	슬기로운
wises	wise	슬기로운
wisest	wise	슬기로운
suggestion	suggestion	암시
suggestions	suggestion	암시
garbage	garbage	(부엌에서 나오는 식품의)쓰레기
garbages	garbage	(부엌에서 나오는 식품의)쓰레기
finger	finger	손가락 손가락을 대다
fingered	finger	손가락 손가락을 대다
fingerings	finger	손가락 손가락을 대다
fingers	finger	손가락 손가락을 대다
ammo	ammo	탄약
ammos	ammo	탄약
thin	thin	얇은
thinned	thin	얇은
thinnest	thin	얇은
thins	thin	얇은
digital	digital	손가락의
era	era	시대
eras	era	시대
nose	nose	코
nosed	nose	코
noses	nose	코
nosing	nose	코
nosings	nose	코
suicide	suicide	자살 자살하다
suicides	suicide	자살 자살하다
foreign	foreign	외국의
artist	artist	예술가
artists	artist	예술가
repeat	repeat	반복하다
repeated	repeat	반복하다
repeatings	repeat	반복하다
repeats	repeat	반복하다
badly	badly	나쁘게
ultimately	ultimately	최후로
sky	sky	하늘
skies	sky	하늘
skyed	sky	하늘
skying	sky	하늘
civil	civil	시민의
civiler	civil	시민의
civilest	civil	시민의
region	region	지방
regions	region	지방
campaign	campaign	선거운동
campaigned	campaign	선거운동
campaigning	campaign	선거운동
campaigns	campaign	선거운동
cake	cake	과자
caked	cake	과자
cakes	cake	과자
caking	cake	과자
cakings	cake	과자
butt	butt	밑동
butted	butt	밑동
buttes	butt	밑동
butting	butt	밑동
butts	butt	밑동
harm	harm	해
harmed	harm	해
harming	harm	해
harms	harm	해
international	international	국제적인
internationals	international	국제적인
canadian	canadian	캐나다 사람
canadians	canadian	캐나다 사람
boost	boost	뒤를 밀기
boosted	boost	뒤를 밀기
boosting	boost	뒤를 밀기
boosts	boost	뒤를 밀기
justify	justify	옳다고 하다
justifies	justify	옳다고 하다
justified	justify	옳다고 하다
justifying	justify	옳다고 하다
steel	steel	강철
steeled	steel	강철
steeling	steel	강철
steelings	steel	강철
steels	steel	강철
concern	concern	관계하다
concerned	concern	관계하다
concerning	concern	관계하다
concerns	concern	관계하다
pot	pot	단지
pots	pot	단지
potted	pot	단지
potting	pot	단지
hundred	hundred	100 100의
hundreder	hundred	100 100의
hundreds	hundred	100 100의
variety	variety	다양성
varieties	variety	다양성
tone	tone	음조
toned	tone	음조
tones	tone	음조
toning	tone	음조
tonings	tone	음조
uncomfortable	uncomfortable	불유쾌한
teeth	teeth	tooth의 복수
riot	riot	폭동
rioted	riot	폭동
riotings	riot	폭동
riots	riot	폭동
restaurant	restaurant	요리점
restaurants	restaurant	요리점
reduce	reduce	줄이다
reduced	reduce	줄이다
reduces	reduce	줄이다
reducing	reduce	줄이다
discuss	discuss	토론하다
discussed	discuss	토론하다
discusses	discuss	토론하다
discussing	discuss	토론하다
significantly	significantly	중대하여
sleeping	sleeping	자고있는
irrelevant	irrelevant	잘못짚은
horse	horse	말
horsed	horse	말
horseess	horse	말
horses	horse	말
horsing	horse	말
horsings	horse	말
crash	crash	도산
crashed	crash	도산
crashes	crash	도산
crashing	crash	도산
responsibility	responsibility	책임
responsibilities	responsibility	책임
pretend	pretend	핑계삼다
pretended	pretend	핑계삼다
pretending	pretend	핑계삼다
pretends	pretend	핑계삼다
island	island	섬
islands	island	섬
calm	calm	평온한
calmed	calm	평온한
calmer	calm	평온한
calmest	calm	평온한
calming	calm	평온한
calms	calm	평온한
shall	shall	하겠다
unlikely	unlikely	있음직하지 않은
struggle	struggle	버둥거리다
struggled	struggle	버둥거리다
struggles	struggle	버둥거리다
struggling	struggle	버둥거리다
strugglings	struggle	버둥거리다
blog	blog	블로그
blogs	blog	블로그
wood	wood	숲
woods	wood	숲
package	package	짐꾸리기
packaged	package	짐꾸리기
packages	package	짐꾸리기
packagings	package	짐꾸리기
recognize	recognize	인정하다
recognized	recognize	인정하다
recognizes	recognize	인정하다
recognizing	recognize	인정하다
serve	serve	섬기다
served	serve	섬기다
serves	serve	섬기다
servings	serve	섬기다
central	central	중심의
centraler	central	중심의
centralest	central	중심의
centrals	central	중심의
display	display	보이다
displayed	display	보이다
displaying	display	보이다
displays	display	보이다
angle	angle	각
angled	angle	각
angles	angle	각
anglings	angle	각
occasionally	occasionally	이따금
screw	screw	나사
screwed	screw	나사
screwings	screw	나사
screws	screw	나사
punch	punch	주먹질, 펀치 힘, 활기
punched	punch	주먹질, 펀치 힘, 활기
punches	punch	주먹질, 펀치 힘, 활기
punching	punch	주먹질, 펀치 힘, 활기
rude	rude	버릇없는
ruder	rude	버릇없는
rudest	rude	버릇없는
quiet	quiet	조용한
quieted	quiet	조용한
quieter	quiet	조용한
quietest	quiet	조용한
quieting	quiet	조용한
quietings	quiet	조용한
quiets	quiet	조용한
library	library	도서관
libraries	library	도서관
yellow	yellow	황색의 황색
yellowed	yellow	황색의 황색
yellower	yellow	황색의 황색
yellowest	yellow	황색의 황색
yellowing	yellow	황색의 황색
yellows	yellow	황색의 황색
refuse	refuse	거절하다
refused	refuse	거절하다
refuses	refuse	거절하다
refusing	refuse	거절하다
hanging	hanging	매닮
hype	hype	피하주사
hyped	hype	피하주사
hypes	hype	피하주사
hyping	hype	피하주사
naturally	naturally	자연히
instantly	instantly	즉시
frequently	frequently	종종
clue	clue	단서
clued	clue	단서
clueing	clue	단서
clues	clue	단서
cluing	clue	단서
ruin	ruin	파멸
ruined	ruin	파멸
ruinings	ruin	파멸
ruins	ruin	파멸
log	log	통나무
loges	log	통나무
logged	log	통나무
logging	log	통나무
logs	log	통나무
department	department	부
departments	department	부
piss	piss	오줌으로 적시다
pissed	piss	오줌으로 적시다
pisses	piss	오줌으로 적시다
pissing	piss	오줌으로 적시다
prison	prison	교도소
prisons	prison	교도소
teaching	teaching	교육
bomb	bomb	폭탄 폭격하다
bombed	bomb	폭탄 폭격하다
bombes	bomb	폭탄 폭격하다
bombings	bomb	폭탄 폭격하다
bombs	bomb	폭탄 폭격하다
muscle	muscle	근육
muscled	muscle	근육
muscles	muscle	근육
muscling	muscle	근육
musclings	muscle	근육
investment	investment	투자
investments	investment	투자
traditional	traditional	전통적인
injury	injury	상해
injuries	injury	상해
depth	depth	깊이
depths	depth	깊이
smith	smith	스미드(스코틀랜드태생의 영국경제학자)
smiths	smith	스미드(스코틀랜드태생의 영국경제학자)
loose	loose	풀어진
loosed	loose	풀어진
looser	loose	풀어진
looses	loose	풀어진
loosest	loose	풀어진
loosing	loose	풀어진
dance	dance	댄스
danced	dance	댄스
dances	dance	댄스
dancings	dance	댄스
efficient	efficient	능률적인
global	global	공모양의
pet	pet	애완동물
pets	pet	애완동물
petted	pet	애완동물
petting	pet	애완동물
mail	mail	우편물
mailed	mail	우편물
mailes	mail	우편물
mailings	mail	우편물
mails	mail	우편물
desire	desire	바라다
desired	desire	바라다
desires	desire	바라다
desiring	desire	바라다
equivalent	equivalent	동등한
equivalents	equivalent	동등한
format	format	(서적의)체제
formated	format	(서적의)체제
formates	format	(서적의)체제
formating	format	(서적의)체제
formats	format	(서적의)체제
formatted	format	(서적의)체제
formatting	format	(서적의)체제
comic	comic	희극의
comics	comic	희극의
billion	billion	10억
billions	billion	10억
client	client	소송의뢰인
clients	client	소송의뢰인
hire	hire	고용하다
hired	hire	고용하다
hirees	hire	고용하다
hires	hire	고용하다
hiring	hire	고용하다
hirings	hire	고용하다
delete	delete	삭제하다
deleted	delete	삭제하다
deletes	delete	삭제하다
deleting	delete	삭제하다
leading	leading	지도
solve	solve	해결하다
solved	solve	해결하다
solves	solve	해결하다
solving	solve	해결하다
neck	neck	목
necked	neck	목
neckings	neck	목
necks	neck	목
shadow	shadow	그림자
shadowed	shadow	그림자
shadowings	shadow	그림자
shadows	shadow	그림자
blade	blade	풀잎
blades	blade	풀잎
swear	swear	맹세하다
swearings	swear	맹세하다
swears	swear	맹세하다
swore	swear	맹세하다
sworn	swear	맹세하다
whoever	whoever	사람은 누구든지
camp	camp	야영
camped	camp	야영
campest	camp	야영
campings	camp	야영
camps	camp	야영
growth	growth	성장
growths	growth	성장
supporting	supporting	지원
confidence	confidence	신임
confidences	confidence	신임
failure	failure	실패
failures	failure	실패
license	license	면허
licensed	license	면허
licensees	license	면허
licenses	license	면허
licensing	license	면허
connect	connect	잇다 이어지다
connected	connect	잇다 이어지다
connecting	connect	잇다 이어지다
connects	connect	잇다 이어지다
medium	medium	중간
media	medium	중간
mediums	medium	중간
sin	sin	사인
sinned	sin	사인
sinning	sin	사인
sins	sin	사인
bathroom	bathroom	욕실
bathrooms	bathroom	욕실
accident	accident	뜻밖의 사건
accidents	accident	뜻밖의 사건
dislike	dislike	싫어하다
disliked	dislike	싫어하다
dislikes	dislike	싫어하다
disliking	dislike	싫어하다
critical	critical	비평의
buff	buff	(소의)누런 가죽
buffed	buff	(소의)누런 가죽
buffest	buff	(소의)누런 가죽
buffing	buff	(소의)누런 가죽
buffings	buff	(소의)누런 가죽
buffs	buff	(소의)누런 가죽
guitar	guitar	기타 기타를 치다
guitars	guitar	기타 기타를 치다
butter	butter	받는 사람
buttered	butter	받는 사람
buttering	butter	받는 사람
butters	butter	받는 사람
friday	friday	금요일
fridays	friday	금요일
elite	elite	선택된 사람들
elites	elite	선택된 사람들
flavor	flavor	(독특한)맛
flavored	flavor	(독특한)맛
flavorings	flavor	(독특한)맛
flavors	flavor	(독특한)맛
wet	wet	축축한
wets	wet	축축한
wetted	wet	축축한
wetter	wet	축축한
wettest	wet	축축한
wetting	wet	축축한
crew	crew	승무원
crewed	crew	승무원
crewes	crew	승무원
crewing	crew	승무원
crews	crew	승무원
chocolate	chocolate	초컬릿(과자,음료)
chocolates	chocolate	초컬릿(과자,음료)
tall	tall	키큰
taller	tall	키큰
tallest	tall	키큰
talls	tall	키큰
guarantee	guarantee	보증하다
guaranteed	guarantee	보증하다
guaranteeing	guarantee	보증하다
guarantees	guarantee	보증하다
guaranteing	guarantee	보증하다
creepy	creepy	기어다니는
creepiest	creepy	기어다니는
creepier	creepy	기어다니는
stretch	stretch	뻗치다
stretched	stretch	뻗치다
stretches	stretch	뻗치다
stretching	stretch	뻗치다
skip	skip	도약
skipped	skip	도약
skipping	skip	도약
skips	skip	도약
acceptable	acceptable	수락할 수 있는
aggressive	aggressive	침략적인
sunday	sunday	일요일
sundays	sunday	일요일
print	print	인쇄하다, 프린트하다
printed	print	인쇄하다, 프린트하다
printings	print	인쇄하다, 프린트하다
prints	print	인쇄하다, 프린트하다
trial	trial	시험
trials	trial	시험
vision	vision	시력, 시각
visions	vision	시력, 시각
asian	asian	아시아 사람
asians	asian	아시아 사람
bench	bench	벤치
benched	bench	벤치
benches	bench	벤치
benching	bench	벤치
vast	vast	광대한, 광막한 막대한
vaster	vast	광대한, 광막한 막대한
vastest	vast	광대한, 광막한 막대한
host	host	주인, 집주인 노릇, 호스트
hosted	host	주인, 집주인 노릇, 호스트
hostessed	host	주인, 집주인 노릇, 호스트
hostesses	host	주인, 집주인 노릇, 호스트
hostessing	host	주인, 집주인 노릇, 호스트
hosting	host	주인, 집주인 노릇, 호스트
hostings	host	주인, 집주인 노릇, 호스트
hosts	host	주인, 집주인 노릇, 호스트
squad	squad	분대
squads	squad	분대
bridge	bridge	다리
bridged	bridge	다리
bridges	bridge	다리
bridging	bridge	다리
bridgings	bridge	다리
escape	escape	도망하다
escaped	escape	도망하다
escapees	escape	도망하다
escapes	escape	도망하다
escaping	escape	도망하다
hence	hence	그러므로
mountain	mountain	산
mountains	mountain	산
resolution	resolution	결의
resolutions	resolution	결의
rise	rise	올리다
risen	rise	올리다
rises	rise	올리다
risings	rise	올리다
poorly	poorly	가난하게
regret	regret	유감
regrets	regret	유감
regretted	regret	유감
regretting	regret	유감
pregnant	pregnant	임신한 충만한
aim	aim	겨누다
aimed	aim	겨누다
aiming	aim	겨누다
aims	aim	겨누다
delicious	delicious	맛있는
deliciouses	delicious	맛있는
plain	plain	분명한
plained	plain	분명한
plainer	plain	분명한
plainest	plain	분명한
plaining	plain	분명한
plainings	plain	분명한
plains	plain	분명한
logical	logical	논리학(상)의
criticism	criticism	비평
criticisms	criticism	비평
federal	federal	연방의
federals	federal	연방의
genuinely	genuinely	순수하게
parking	parking	주차
bay	bay	만
bayed	bay	만
baying	bay	만
bays	bay	만
elsewhere	elsewhere	딴 곳으로
percentage	percentage	백분율
percentages	percentage	백분율
orange	orange	오렌지
oranger	orange	오렌지
oranges	orange	오렌지
orangest	orange	오렌지
jones	jones	존스
joneses	jones	존스
remain	remain	남다
remained	remain	남다
remaining	remain	남다
remains	remain	남다
destiny	destiny	운명
destinies	destiny	운명
native	native	타고난
natives	native	타고난
phase	phase	국면
phased	phase	국면
phases	phase	국면
phasing	phase	국면
effectively	effectively	유효하게
convince	convince	확신시키다
convinced	convince	확신시키다
convinces	convince	확신시키다
convincing	convince	확신시키다
penalty	penalty	벌
penalties	penalty	벌
warning	warning	경고
flow	flow	흐르다
flowed	flow	흐르다
flowing	flow	흐르다
flows	flow	흐르다
port	port	항구, 항만, 상항
ported	port	항구, 항만, 상항
portess	port	항구, 항만, 상항
portesses	port	항구, 항만, 상항
porting	port	항구, 항만, 상항
ports	port	항구, 항만, 상항
meal	meal	식사
meals	meal	식사
activity	activity	활동
activities	activity	활동
rage	rage	격노
ragees	rage	격노
unable	unable	할 수 없는
superior	superior	뛰어난
superiors	superior	뛰어난
odds	odds	우열의 차
labor	labor	노동
labored	labor	노동
labores	labor	노동
laboress	labor	노동
laboring	labor	노동
laborings	labor	노동
labors	labor	노동
confident	confident	확신하는
engineering	engineering	공학
coast	coast	연안
coasted	coast	연안
coasting	coast	연안
coastings	coast	연안
coasts	coast	연안
reliable	reliable	믿을 만한
batman	batman	육군 장교의 당번
batmen	batman	육군 장교의 당번
wash	wash	씻다
washed	wash	씻다
washes	wash	씻다
washings	wash	씻다
drama	drama	극
dramas	drama	극
combination	combination	결합
combinations	combination	결합
flip	flip	튀기다 홱 움직이다 튀기기
fliped	flip	튀기다 홱 움직이다 튀기기
fliping	flip	튀기다 홱 움직이다 튀기기
flipped	flip	튀기다 홱 움직이다 튀기기
flipping	flip	튀기다 홱 움직이다 튀기기
flips	flip	튀기다 홱 움직이다 튀기기
author	author	저자
authored	author	저자
authoresses	author	저자
authoring	author	저자
authorings	author	저자
authors	author	저자
champion	champion	우승자
championed	champion	우승자
championess	champion	우승자
championesses	champion	우승자
championing	champion	우승자
champions	champion	우승자
consistently	consistently	꾸준히
object	object	사물
objected	object	사물
objecting	object	사물
objects	object	사물
organization	organization	조직
organizations	organization	조직
union	union	결합
unions	union	결합
protection	protection	보호, 옹호, 비호, 방호
protections	protection	보호, 옹호, 비호, 방호
portion	portion	일부, 부분
portioned	portion	일부, 부분
portiones	portion	일부, 부분
portioning	portion	일부, 부분
portions	portion	일부, 부분
ideal	ideal	이상
ideals	ideal	이상
century	century	1세기
centuries	century	1세기
stable	stable	안정된
stabled	stable	안정된
stabler	stable	안정된
stables	stable	안정된
stablest	stable	안정된
stablings	stable	안정된
storage	storage	저장
storages	storage	저장
pattern	pattern	모범
patterned	pattern	모범
patterning	pattern	모범
patternings	pattern	모범
patterns	pattern	모범
edition	edition	판
editions	edition	판
ultimate	ultimate	최후의
ultimates	ultimate	최후의
spam	spam	스팸
spams	spam	스팸
belt	belt	띠
belted	belt	띠
beltings	belt	띠
belts	belt	띠
rolling	rolling	굴리기
mini	mini	미니
minier	mini	미니
miniest	mini	미니
minis	mini	미니
spring	spring	뜀
sprang	spring	뜀
springed	spring	뜀
springes	spring	뜀
springing	spring	뜀
springings	spring	뜀
springs	spring	뜀
sprung	spring	뜀
impression	impression	인상
impressions	impression	인상
actively	actively	활동하여
lift	lift	끌어올리다
lifted	lift	끌어올리다
lifting	lift	끌어올리다
lifts	lift	끌어올리다
thousand	thousand	천
thousands	thousand	천
ugh	ugh	우
quest	quest	탐색
quested	quest	탐색
questing	quest	탐색
questings	quest	탐색
quests	quest	탐색
empire	empire	제국
empires	empire	제국
makeup	makeup	조립
makeups	makeup	조립
equally	equally	동등하게
lovely	lovely	아름다운
lovelies	lovely	아름다운
loveliest	lovely	아름다운
lovelier	lovely	아름다운
sauce	sauce	소오스
sauced	sauce	소오스
sauces	sauce	소오스
saucing	sauce	소오스
forum	forum	공개토론회
fora	forum	공개토론회
forums	forum	공개토론회
realistic	realistic	현실주의의
measure	measure	재다
measured	measure	재다
measures	measure	재다
measurings	measure	재다
valuable	valuable	귀중한
valuables	valuable	귀중한
racism	racism	민족(인종)차별주의
racisms	racism	민족(인종)차별주의
awhile	awhile	잠시
victim	victim	희생, 산 제물, 인신 제물
victims	victim	희생, 산 제물, 인신 제물
mirror	mirror	거울
mirrored	mirror	거울
mirroring	mirror	거울
mirrors	mirror	거울
passive	passive	수동의
passives	passive	수동의
minority	minority	소수
minorities	minority	소수
rifle	rifle	라이플총
rifled	rifle	라이플총
rifles	rifle	라이플총
riflings	rifle	라이플총
creative	creative	창조적인
breath	breath	숨
breaths	breath	숨
beast	beast	짐승
beasts	beast	짐승
spawn	spawn	(물고기
spawned	spawn	(물고기
spawning	spawn	(물고기
spawnings	spawn	(물고기
spawns	spawn	(물고기
height	height	높이
heights	height	높이
wheel	wheel	바퀴
wheeled	wheel	바퀴
wheelings	wheel	바퀴
wheels	wheel	바퀴
structure	structure	구조
structured	structure	구조
structures	structure	구조
structuring	structure	구조
marketing	marketing	매매
desk	desk	책상
desks	desk	책상
captain	captain	우두머리(chief)
captained	captain	우두머리(chief)
captainess	captain	우두머리(chief)
captaining	captain	우두머리(chief)
captains	captain	우두머리(chief)
plant	plant	실물
planted	plant	실물
plantings	plant	실물
plants	plant	실물
alpha	alpha	그리이스말의 첫번째 글자
alphas	alpha	그리이스말의 첫번째 글자
famous	famous	유명한
command	command	명령하다
commanded	command	명령하다
commanding	command	명령하다
commands	command	명령하다
wine	wine	포도주
legitimate	legitimate	합법의
legitimated	legitimate	합법의
legitimates	legitimate	합법의
legitimating	legitimate	합법의
bright	bright	밝은
brighter	bright	밝은
brightest	bright	밝은
lawyer	lawyer	법률가
lawyers	lawyer	법률가
upper	upper	위쪽의
upperer	upper	위쪽의
upperest	upper	위쪽의
uppers	upper	위쪽의
beating	beating	치기
humanity	humanity	인류
humanities	humanity	인류
liquid	liquid	액체
liquids	liquid	액체
communication	communication	통신
communications	communication	통신
rice	rice	쌀
riced	rice	쌀
rices	rice	쌀
ricing	rice	쌀
platform	platform	단
platforms	platform	단
january	january	1월
januaries	january	1월
loan	loan	대부
loaned	loan	대부
loanings	loan	대부
loans	loan	대부
valve	valve	밸브
valves	valve	밸브
reset	reset	고쳐 놓다
resets	reset	고쳐 놓다
resetting	reset	고쳐 놓다
arena	arena	투기장
arenas	arena	투기장
afterwards	afterwards	=afterward(뒤에
criminal	criminal	죄의
criminals	criminal	죄의
roughly	roughly	거칠게
den	den	(야수의)굴
dens	den	(야수의)굴
brilliant	brilliant	빛나는
invite	invite	초대하다
invited	invite	초대하다
invitees	invite	초대하다
invites	invite	초대하다
inviting	invite	초대하다
invitings	invite	초대하다
reward	reward	보수
rewarded	reward	보수
rewarding	reward	보수
rewards	reward	보수
square	square	정사각형의
squared	square	정사각형의
squarer	square	정사각형의
squares	square	정사각형의
squarest	square	정사각형의
squaring	square	정사각형의
squarings	square	정사각형의
heal	heal	고치다
healed	heal	고치다
healings	heal	고치다
heals	heal	고치다
nuclear	nuclear	핵의, 핵을 형성하는 원자핵의
gorgeous	gorgeous	호화로운
perform	perform	다하다
performed	perform	다하다
performings	perform	다하다
performs	perform	다하다
capital	capital	수위의
capitals	capital	수위의
shoulder	shoulder	어깨
shouldered	shoulder	어깨
shouldering	shoulder	어깨
shoulderings	shoulder	어깨
shoulders	shoulder	어깨
smooth	smooth	매끄러운
smoothed	smooth	매끄러운
smoothes	smooth	매끄러운
smoothest	smooth	매끄러운
smoothing	smooth	매끄러운
smoothings	smooth	매끄러운
smooths	smooth	매끄러운
accidentally	accidentally	우연히
technical	technical	기술적인
technicals	technical	기술적인
intelligence	intelligence	지력
intelligences	intelligence	지력
conclusion	conclusion	결말
conclusions	conclusion	결말
decade	decade	10년간
decades	decade	10년간
boot	boot	목이 긴 구두
booted	boot	목이 긴 구두
bootes	boot	목이 긴 구두
booting	boot	목이 긴 구두
boots	boot	목이 긴 구두
bootses	boot	목이 긴 구두
neat	neat	산뜻한
neater	neat	산뜻한
neatest	neat	산뜻한
jail	jail	교도소
jailed	jail	교도소
jailing	jail	교도소
jails	jail	교도소
achieve	achieve	성취하다
achieved	achieve	성취하다
achieves	achieve	성취하다
achieving	achieve	성취하다
pink	pink	연분홍색
pinked	pink	연분홍색
pinker	pink	연분홍색
pinkest	pink	연분홍색
pinking	pink	연분홍색
pinkings	pink	연분홍색
pinks	pink	연분홍색
menu	menu	식단표
menus	menu	식단표
tournament	tournament	경기
tournaments	tournament	경기
toilet	toilet	화장실
toilets	toilet	화장실
scientific	scientific	과학적인
liberal	liberal	자유주의의
liberals	liberal	자유주의의
latest	latest	최신의
latests	latest	최신의
clock	clock	시계
clocked	clock	시계
clockings	clock	시계
clocks	clock	시계
ourselves	ourselves	우리들 자신
application	application	적용
applications	application	적용
authority	authority	권위
authorities	authority	권위
jungle	jungle	정글
jungles	jungle	정글
expert	expert	숙련가
experts	expert	숙련가
protein	protein	단백질
proteins	protein	단백질
invest	invest	투자하다
invested	invest	투자하다
investing	invest	투자하다
invests	invest	투자하다
plate	plate	판
surgery	surgery	외과
surgeries	surgery	외과
commercial	commercial	상업의
commercials	commercial	상업의
hotel	hotel	호텔
hotels	hotel	호텔
conflict	conflict	투쟁
conflicted	conflict	투쟁
conflicting	conflict	투쟁
conflicts	conflict	투쟁
bullet	bullet	탄환
bullets	bullet	탄환
pointless	pointless	끝이없는
expansion	expansion	확장
expansions	expansion	확장
burning	burning	불타는(듯한)
promise	promise	약속, 서약, 계약
promised	promise	약속, 서약, 계약
promisees	promise	약속, 서약, 계약
promises	promise	약속, 서약, 계약
promising	promise	약속, 서약, 계약
kitchen	kitchen	부엌
kitchens	kitchen	부엌
analysis	analysis	분석
independent	independent	독립한
independents	independent	독립한
earn	earn	일하여 벌다
earned	earn	일하여 벌다
earning	earn	일하여 벌다
earnings	earn	일하여 벌다
earns	earn	일하여 벌다
bread	bread	빵
breaded	bread	빵
breading	bread	빵
breads	bread	빵
cultural	cultural	문화의
naked	naked	발가벗은
nakeder	naked	발가벗은
nakedest	naked	발가벗은
hill	hill	언덕, 낮은 산 인도 고지
hilled	hill	언덕, 낮은 산 인도 고지
hilling	hill	언덕, 낮은 산 인도 고지
hills	hill	언덕, 낮은 산 인도 고지
rating	rating	등위
paul	paul	폴
pauls	paul	폴
viable	viable	생존 가능한
goddamn	goddamn	빌어먹을
hockey	hockey	하키
hockeys	hockey	하키
exception	exception	예외
exceptions	exception	예외
coverage	coverage	적용
coverages	coverage	적용
extent	extent	넓이
extents	extent	넓이
conservative	conservative	보수적인
conservatives	conservative	보수적인
gross	gross	총계의
grossed	gross	총계의
grosser	gross	총계의
grosses	gross	총계의
grossest	gross	총계의
grossing	gross	총계의
advance	advance	나아가다
advanced	advance	나아가다
advances	advance	나아가다
advancing	advance	나아가다
select	select	고르다
selected	select	고르다
selecting	select	고르다
selects	select	고르다
fancy	fancy	공상
fancies	fancy	공상
fanciest	fancy	공상
fancied	fancy	공상
fancying	fancy	공상
stack	stack	낟가리
stacked	stack	낟가리
stacking	stack	낟가리
stackings	stack	낟가리
stacks	stack	낟가리
suffering	suffering	괴로움
wealth	wealth	재산
wealths	wealth	재산
patient	patient	인내심이 강한 환자
patienter	patient	인내심이 강한 환자
patientest	patient	인내심이 강한 환자
patients	patient	인내심이 강한 환자
jag	jag	뾰족한 모서리
jags	jag	뾰족한 모서리
quarter	quarter	4분의 1
quartered	quarter	4분의 1
quarterings	quarter	4분의 1
quarters	quarter	4분의 1
suffer	suffer	경험하다
suffered	suffer	경험하다
sufferings	suffer	경험하다
suffers	suffer	경험하다
gap	gap	갈라진 틈
gaped	gap	갈라진 틈
gapes	gap	갈라진 틈
gaping	gap	갈라진 틈
gaps	gap	갈라진 틈
tom	tom	수컷
toms	tom	수컷
programming	programming	프로그램 작성
payment	payment	지불
payments	payment	지불
determine	determine	결정하다
determined	determine	결정하다
determines	determine	결정하다
determining	determine	결정하다
temperature	temperature	온도
temperatures	temperature	온도
relative	relative	친척
relatives	relative	친척
legendary	legendary	전설의
wing	wing	날개
winged	wing	날개
winging	wing	날개
wings	wing	날개
dust	dust	먼지
dusted	dust	먼지
dusting	dust	먼지
dustings	dust	먼지
dusts	dust	먼지
forth	forth	앞으로
intelligent	intelligent	지적인
filter	filter	여과기 여과하다
filtered	filter	여과기 여과하다
filtering	filter	여과기 여과하다
